Respondent_ID,Timestamp,Region,Age_Group,Gender,Occupation,Primary_Tech_Stack,Work_Setup_Preference,Satisfaction_Score,Feedback,Date,Feedback_Length
R0001,2024-02-20 16:24:40,North America,18-24,Male,Manager,Python,Hybrid,5,Highly efficient tool,2024-02-20,21
R0002,2024-04-28 15:03:28,Europe,18-24,Female,Software Engineer,R,Hybrid,2,Poor experience,2024-04-28,15
R0003,2024-03-05 12:37:39,Europe,25-34,Female,Software Engineer,Python,Hybrid,4,Highly efficient tool,2024-03-05,21
R0004,2024-02-05 07:42:51,Middle East,25-34,Female,Manager,C++,Remote,3,It's okay,2024-02-05,9
R0005,2024-04-18 21:21:57,Europe,25-34,Male,Software Engineer,Javascript,Hybrid,4,Nothing special,2024-04-18,15
R0006,2024-04-17 23:46:16,North America,25-34,Female,Software Engineer,Javascript,Hybrid,3,Very satisfied with the results,2024-04-17,31
R0007,2024-03-29 17:26:54,Africa,25-34,Male,Researcher,Java,On-Site,4,Average experience,2024-03-29,18
R0008,2024-03-20 22:51:59,Africa,25-34,Male,Researcher,C++,Remote,2,Average experience,2024-03-20,18
R0009,2024-04-05 12:06:11,Europe,18-24,Male,Student,Python,Remote,4,Highly efficient tool,2024-04-05,21
R0010,2024-02-26 02:04:22,Europe,25-34,Female,Researcher,Python,Remote,4,Very satisfied with the results,2024-02-26,31
R0011,2024-03-07 20:54:44,North America,18-24,Male,Researcher,Python,Remote,4,Very useful and easy to use,2024-03-07,27
R0012,2024-01-30 12:07:30,Asia-Pacific,18-24,Female,Researcher,Python,Remote,5,Great experience,2024-01-30,16
R0013,2024-04-27 11:08:27,Africa,18-24,Male,Researcher,R,On-Site,1,Not satisfied,2024-04-27,13
R0014,2024-04-01 18:51:47,Africa,35-44,Male,Data Analyst,Python,Hybrid,5,Very useful and easy to use,2024-04-01,27
R0015,2024-02-28 10:03:35,North America,35-44,Female,Manager,Python,Hybrid,4,Great experience,2024-02-28,16
R0016,2024-04-22 11:38:08,North America,35-44,Male,Manager,Java,Remote,4,Works fine,2024-04-22,10
R0017,2024-01-10 10:12:42,Europe,18-24,Female,Software Engineer,C++,On-Site,2,Nothing special,2024-01-10,15
R0018,2024-02-02 01:50:22,North America,18-24,Female,Data Analyst,Javascript,Remote,4,Loved the flexibility,2024-02-02,21
R0019,2024-03-06 16:06:12,Africa,35-44,Male,Student,Java,Hybrid,3,It's okay,2024-03-06,9
R0020,2024-02-04 14:35:49,Middle East,18-24,Female,Researcher,Javascript,Remote,3,Highly efficient tool,2024-02-04,21
R0021,2024-02-29 12:37:35,North America,25-34,Male,Software Engineer,Python,Remote,5,Highly efficient tool,2024-02-29,21
R0022,2024-04-25 04:52:45,Africa,25-34,Male,Student,Javascript,Remote,5,Can be improved,2024-04-25,15
R0023,2024-01-17 02:53:47,Europe,35-44,Male,Researcher,Python,Remote,4,Loved the flexibility,2024-01-17,21
R0024,2024-04-20 08:59:19,Middle East,18-24,Male,Data Analyst,Python,Remote,4,Loved the flexibility,2024-04-20,21
R0025,2024-02-11 05:37:14,Africa,18-24,Male,Software Engineer,Java,Remote,4,It's okay,2024-02-11,9
R0026,2024-04-06 19:03:23,Middle East,18-24,Male,Researcher,Java,On-Site,4,It's okay,2024-04-06,9
R0027,2024-04-17 06:27:43,Europe,45+,Male,Manager,Java,On-Site,4,It's okay,2024-04-17,9
R0028,2024-04-27 13:49:50,Africa,25-34,Male,Software Engineer,Javascript,Hybrid,3,Works fine,2024-04-27,10
R0029,2024-03-26 01:36:03,Asia-Pacific,35-44,Female,Software Engineer,Python,Remote,4,Loved the flexibility,2024-03-26,21
R0030,2024-01-19 18:52:01,Europe,35-44,Male,Researcher,Javascript,On-Site,5,It's okay,2024-01-19,9
R0031,2024-02-20 09:32:44,Europe,18-24,Female,Student,Python,Remote,4,Very useful and easy to use,2024-02-20,27
R0032,2024-04-29 08:23:27,Asia-Pacific,18-24,Female,Manager,Python,Remote,5,Very satisfied with the results,2024-04-29,31
R0033,2024-01-23 06:23:26,North America,18-24,Female,Student,Python,Remote,5,Great experience,2024-01-23,16
R0034,2024-03-06 22:00:18,Middle East,35-44,Male,Researcher,Python,Remote,5,Highly efficient tool,2024-03-06,21
R0035,2024-03-31 11:35:43,Africa,25-34,Female,Researcher,Javascript,Remote,3,It's okay,2024-03-31,9
R0036,2024-04-17 20:08:51,North America,45+,Female,Data Analyst,Java,Remote,2,Works fine,2024-04-17,10
R0037,2024-04-28 06:48:35,Europe,45+,Female,Manager,Java,Remote,4,Works fine,2024-04-28,10
R0038,2024-02-27 17:40:38,Africa,18-24,Female,Data Analyst,Javascript,Hybrid,5,Average experience,2024-02-27,18
R0039,2024-01-12 21:10:01,Europe,18-24,Male,Student,Python,Remote,5,Very useful and easy to use,2024-01-12,27
R0040,2024-01-17 18:14:20,Middle East,18-24,Female,Data Analyst,Python,On-Site,4,Very satisfied with the results,2024-01-17,31
R0041,2024-03-18 17:05:12,Asia-Pacific,18-24,Male,Software Engineer,Java,Remote,4,Average experience,2024-03-18,18
R0042,2024-03-19 23:54:19,Middle East,18-24,Female,Researcher,Python,Remote,4,Very satisfied with the results,2024-03-19,31
R0043,2024-03-05 03:24:17,Europe,25-34,Female,Data Analyst,Python,On-Site,4,Very satisfied with the results,2024-03-05,31
R0044,2024-03-10 18:13:56,North America,35-44,Female,Software Engineer,Python,Hybrid,4,Great experience,2024-03-10,16
R0045,2024-03-30 16:19:22,Asia-Pacific,18-24,Male,Data Analyst,Javascript,On-Site,3,Highly efficient tool,2024-03-30,21
R0046,2024-02-21 23:40:06,North America,35-44,Female,Researcher,Javascript,On-Site,5,Great experience,2024-02-21,16
R0047,2024-03-22 00:39:57,Africa,45+,Female,Software Engineer,Javascript,Remote,3,Very useful and easy to use,2024-03-22,27
R0048,2024-04-09 20:03:05,North America,35-44,Male,Software Engineer,Python,On-Site,4,Loved the flexibility,2024-04-09,21
R0049,2024-04-14 12:54:05,Europe,18-24,Male,Researcher,Javascript,Hybrid,5,Loved the flexibility,2024-04-14,21
R0050,2024-03-08 16:34:54,Europe,35-44,Female,Manager,Python,Remote,4,Great experience,2024-03-08,16
R0051,2024-02-18 17:12:20,North America,25-34,Female,Student,Python,Hybrid,5,Great experience,2024-02-18,16
R0052,2024-01-21 11:22:00,Europe,25-34,Male,Student,Python,Remote,5,Very satisfied with the results,2024-01-21,31
R0053,2024-02-04 15:20:01,Africa,18-24,Male,Software Engineer,Python,Remote,4,Loved the flexibility,2024-02-04,21
R0054,2024-03-16 22:53:27,North America,18-24,Male,Data Analyst,Javascript,Remote,5,Very satisfied with the results,2024-03-16,31
R0055,2024-01-10 13:38:17,Europe,18-24,Female,Software Engineer,Python,Remote,5,Highly efficient tool,2024-01-10,21
R0056,2024-01-31 09:42:43,Asia-Pacific,25-34,Female,Software Engineer,Java,Hybrid,2,Can be improved,2024-01-31,15
R0057,2024-02-08 10:52:31,Middle East,35-44,Female,Data Analyst,Python,Remote,4,Great experience,2024-02-08,16
R0058,2024-03-15 13:03:46,Middle East,25-34,Male,Manager,Python,Remote,5,Great experience,2024-03-15,16
R0059,2024-03-04 08:01:35,Middle East,25-34,Male,Researcher,C++,Remote,3,Can be improved,2024-03-04,15
R0060,2024-01-07 00:58:55,Asia-Pacific,25-34,Male,Researcher,Javascript,Hybrid,3,Very satisfied with the results,2024-01-07,31
R0061,2024-01-13 14:29:21,Asia-Pacific,35-44,Male,Manager,Java,On-Site,2,Average experience,2024-01-13,18
R0062,2024-01-30 00:02:21,Europe,25-34,Female,Manager,R,On-Site,2,It's okay,2024-01-30,9
R0063,2024-04-22 22:30:39,North America,18-24,Female,Student,Python,On-Site,4,Loved the flexibility,2024-04-22,21
R0064,2024-04-24 19:20:18,Middle East,25-34,Male,Student,Python,Remote,4,Loved the flexibility,2024-04-24,21
R0065,2024-01-15 02:26:46,Middle East,45+,Female,Researcher,Python,Hybrid,4,Very useful and easy to use,2024-01-15,27
R0066,2024-01-12 16:55:36,Middle East,25-34,Female,Manager,Javascript,Remote,3,Nothing special,2024-01-12,15
R0067,2024-01-15 18:30:24,North America,25-34,Female,Manager,Javascript,Hybrid,4,Highly efficient tool,2024-01-15,21
R0068,2024-03-28 08:43:19,Middle East,25-34,Female,Researcher,Javascript,Hybrid,3,Works fine,2024-03-28,10
R0069,2024-02-23 01:35:46,Middle East,25-34,Male,Student,R,On-Site,3,Poor experience,2024-02-23,15
R0070,2024-04-10 22:35:20,Africa,35-44,Female,Researcher,Python,Remote,5,Very useful and easy to use,2024-04-10,27
R0071,2024-01-07 16:17:58,Asia-Pacific,18-24,Female,Data Analyst,Python,Hybrid,5,Loved the flexibility,2024-01-07,21
R0072,2024-04-01 21:22:45,Asia-Pacific,35-44,Female,Data Analyst,Python,Remote,4,Loved the flexibility,2024-04-01,21
R0073,2024-03-02 06:19:01,Europe,45+,Female,Software Engineer,R,Hybrid,1,Nothing special,2024-03-02,15
R0074,2024-03-05 21:42:18,Asia-Pacific,45+,Female,Manager,Javascript,Remote,3,Great experience,2024-03-05,16
R0075,2024-04-12 17:07:51,North America,25-34,Female,Manager,R,Hybrid,2,Poor experience,2024-04-12,15
R0076,2024-04-04 15:35:32,Africa,18-24,Female,Student,Python,On-Site,5,Great experience,2024-04-04,16
R0077,2024-02-27 03:57:24,Europe,18-24,Female,Researcher,Python,Hybrid,4,Loved the flexibility,2024-02-27,21
R0078,2024-01-15 09:15:54,Asia-Pacific,45+,Male,Manager,Java,On-Site,4,Average experience,2024-01-15,18
R0079,2024-04-25 14:55:20,Africa,18-24,Female,Data Analyst,Java,On-Site,2,Nothing special,2024-04-25,15
R0080,2024-02-20 07:13:39,Africa,18-24,Male,Data Analyst,Java,Remote,4,Average experience,2024-02-20,18
R0081,2024-01-06 19:53:40,Middle East,25-34,Male,Software Engineer,C++,Remote,3,It's okay,2024-01-06,9
R0082,2024-01-17 19:16:25,North America,25-34,Male,Manager,Javascript,Hybrid,4,Average experience,2024-01-17,18
R0083,2024-01-25 17:48:25,Europe,25-34,Female,Researcher,R,On-Site,3,Poor experience,2024-01-25,15
R0084,2024-01-01 11:49:12,Asia-Pacific,45+,Male,Researcher,C++,On-Site,1,Not very user friendly,2024-01-01,22
R0085,2024-01-18 08:58:00,Europe,18-24,Female,Data Analyst,Javascript,Remote,3,It's okay,2024-01-18,9
R0086,2024-01-25 14:54:22,North America,18-24,Female,Software Engineer,Java,On-Site,2,Nothing special,2024-01-25,15
R0087,2024-01-28 01:44:40,Europe,18-24,Female,Student,Python,Hybrid,5,Great experience,2024-01-28,16
R0088,2024-03-15 23:49:01,Africa,35-44,Male,Data Analyst,Javascript,Hybrid,5,Very useful and easy to use,2024-03-15,27
R0089,2024-04-04 07:13:30,Middle East,25-34,Male,Data Analyst,R,Remote,1,Had some issues,2024-04-04,15
R0090,2024-01-23 07:14:24,North America,25-34,Female,Software Engineer,Java,Remote,2,Nothing special,2024-01-23,15
R0091,2024-01-06 03:10:41,Africa,25-34,Female,Data Analyst,Java,Hybrid,4,Average experience,2024-01-06,18
R0092,2024-03-11 07:13:58,Africa,18-24,Female,Student,C++,Remote,1,Can be improved,2024-03-11,15
R0093,2024-03-18 10:18:09,Middle East,25-34,Male,Manager,Javascript,Remote,4,Great experience,2024-03-18,16
R0094,2024-01-02 18:28:27,Asia-Pacific,25-34,Male,Manager,Python,Remote,4,Loved the flexibility,2024-01-02,21
R0095,2024-04-19 06:25:41,North America,25-34,Male,Student,Python,Hybrid,4,Highly efficient tool,2024-04-19,21
R0096,2024-01-06 17:59:27,Asia-Pacific,25-34,Female,Student,Javascript,Hybrid,3,Nothing special,2024-01-06,15
R0097,2024-01-11 19:35:21,Africa,18-24,Female,Software Engineer,C++,Hybrid,2,It's okay,2024-01-11,9
R0098,2024-04-09 13:17:50,Europe,35-44,Male,Manager,Javascript,On-Site,3,Nothing special,2024-04-09,15
R0099,2024-01-25 10:17:24,Middle East,45+,Female,Software Engineer,Java,Remote,2,Average experience,2024-01-25,18
R0100,2024-02-09 00:24:15,Asia-Pacific,35-44,Female,Manager,Javascript,On-Site,4,Works fine,2024-02-09,10
R0101,2024-03-07 12:56:04,Europe,35-44,Female,Student,Python,Remote,5,Very useful and easy to use,2024-03-07,27
R0102,2024-04-13 21:21:09,Africa,25-34,Female,Data Analyst,Python,Remote,4,Very satisfied with the results,2024-04-13,31
R0103,2024-02-27 11:32:45,Middle East,35-44,Male,Manager,C++,Remote,3,Poor experience,2024-02-27,15
R0104,2024-01-30 14:08:39,Middle East,45+,Male,Manager,R,Remote,2,Not satisfied,2024-01-30,13
R0105,2024-04-07 07:08:58,North America,25-34,Male,Data Analyst,C++,Remote,2,Works fine,2024-04-07,10
